genus,species,common name,body mass (kg),log10 body mass,BMR,units,converted to kCal,log10 bmr,diet,habitat,usable,order corrected,Source
Glossophaga,soricina,pallas's long-tongued bat,0.0096,-2.0177288,22.1061333,ml O2/h,2.65,0.42369403,o,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Glossophaga,longirostris,miller's long-tongued bat,0.0135,-1.8696662,26.3681592,ml O2/h,3.164179104,0.50026106,o,land,yes,chiroptera,"Khaliq et al. (2015); Arends et al., 1995; Genoud 2017 dataset"

Golunda,ellioti,indian bush rat,0.0562,-1.2502637,60.7,ml O2/h,7.284,0.86236994,h,land,yes,rodentia,Lovegrove (2003)

Gracilinanus,microtarsus,brazilian gracile opossum,0.013,-1.8860566,19,ml O2/h,2.28,0.35793485,o,land,yes,didelphimorphia,"White and Seymour, 2003"

Gracilinanus,agilis,agile gracile opossum,0.0314,-1.5030704,31.4,ml O2/h,3.768,0.57611089,o,land,yes,didelphimorphia,Cooper et al. (2009)

Graomys,griseoflavus,gray leaf-eared mouse,0.0694,-1.1586405,84,ml O2/h,10.08,1.00346053,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Caviedes-Vidal et al., 1987; Genoud 2017 dataset"

Graphiurus,ocularis,spectacled dormouse,0.0678,-1.1687703,66.4,ml O2/h,7.97,0.90134933,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Perrin and Ridgard 1999; Genoud 2017 dataset"

Graphiurus,murinus,woodland dormouse,0.0384,-1.4156688,40.36,ml O2/h,4.8432,0.6851324,o,land,yes,rodentia,Whittington-Jones & Brown (1999)

Gulo,gulo,wolverine/skunk bear/quickhatch,12.7,1.10380372,5694,ml O2/h,683.28,2.83459871,o,land,yes,carnivora,"White and Seymour, 2003"

Gymnobelideus,leadbeateri,landbeater's possum,0.166,-0.7798919,102.9,ml O2/h,12.35,1.09159662,o,land,yes,diprotodontia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Smith et al., 1982; Genoud 2017 dataset"

Heliophobius,argenteocinereus,silvery mole rat,0.2095,-0.678816,146.084,ml O2/h,17.53,1.2437839,h,land,yes,rodentia,"White and Seymour, 2003; Luna et al., 2017; Naya dataset; Zelova et al., 2007; Genoud 2017 dataset"

Heliosciurus,rufobrachium,red-legged sun squirrel,0.25733333,-0.589504,152.8,ml O2/h,18.34,1.2633046,c,land,yes,rodentia,"White and Seymour, 2003; Hildwein 1972; Genoud 2017 dataset"

Hemicentetes,nigriceps,highland streaked tenrec,0.1019,-0.9918258,72.5,ml O2/h,8.7,0.93951925,c,land,yes,afrosoricida,"White and Seymour, 2003"

Hemicentetes,semispinosus,lowland streaked tenrec,0.133,-0.8761484,64.1,ml O2/h,7.69,0.88603928,c,land,yes,afrosoricida,"White and Seymour, 2003"

Hemiechinus,auritus,long-eared hedgehog,0.4,-0.39794,152,ml O2/h,18.24,1.26102483,o,land,yes,eulipotyphla,"White and Seymour, 2003"

Hemiechinus,auritus,long-eared hedgehog variant,0.397,-0.4012095,150.9,ml O2/h,18.108,1.25787049,o,land,yes,eulipotyphla,Shkolnik & Schmidt-Niesen (1976)

Herpailurus,yagouaroundi,jaguarundi,8.4,0.92427929,1737,ml O2/h,208.44,2.31898106,c,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Herpestes,javanicus,small asian mongoose,0.611,-0.2139588,403,ml O2/h,48.36,1.68448629,o,land,yes,carnivora,"White and Seymour, 2003"

Herpestes,sanguineus,slender mongoose,0.505,-0.2967086,383.75,ml O2/h,46.05,1.66322963,o,land,yes,carnivora,"White and Seymour, 2003; Kamau et al., 1979; Genoud 2017 dataset"

Heterocephalus,glaber,naked mole-rat,0.03827143,-1.4171253,25.1610714,ml O2/h,3.02,0.47991038,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1966; Genoud 2017 dataset"

Heterohyrax,brucei,yellow-spotted rock hyrax,2,0.30103,720,ml O2/h,86.4,1.93651374,h,land,yes,hyracoidea,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Heteromys,anomalus,trinidad spiny pocket mouse,0.0693,-1.1592668,100.5,ml O2/h,12.06,1.08134731,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1979; Genoud 2017 dataset"

Heteromys,desmarestianus,desmarest's spiny pocket mouse,0.0758,-1.1203308,99.1,ml O2/h,11.89,1.0752549,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Hipposideros,galeritus,Cantor's roundleaf bat,0.0085,-2.0705811,9.4,ml O2/h,1.13,0.0523091,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1989; Genoud 2017 dataset"

Hipposideros,diadema,diadem leaf-nosed bat,0.0372,-1.4294571,32.8358209,ml O2/h,3.940298507,0.59552912,c,land,yes,chiroptera,Khaliq et al. (2015); Bonaccorso and McNab 2003; Genoud 2017 dataset

Hipposideros,maggietaylorae,maggie taylor's roundleaf bat,0.0182,-1.7399286,21,ml O2/h,2.52,0.40140054,c,land,yes,chiroptera,Khaliq et al. (2015); Bonaccorso and McNab 2003; Genoud 2017 dataset

Hipposideros,cervinus,fawn leaf-nosed bat,0.0083,-2.0809219,8.96,ml O2/h,1.0752,0.03148926,c,land,yes,chiroptera,Bonaccorso & McNab (2003)

Histiotus,velatus,tropical big-eared brown bat,0.0112,-1.950782,11.3975,ml O2/h,1.37,0.13599085,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Homo,sapiens,human,70,1.84509804,14.76,liter O2/h,1771.2,3.2482676,o,land,yes,primates,"Schmidt-Nielsen, 1997"

Hyaena,hyaena,striped hyena,34.3,1.53529412,5728,ml O2/h,687.36,2.83718426,o,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Hydrochoerus,hydrochaeris,capybara,26.39,1.42143939,6594.05067,ml O2/h,791.29,2.89833353,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Arends & McNab (2001); Genoud 2017"

Hydromys,chrysogaster,rakali,0.8,-0.09691,470.216667,ml O2/h,56.43,1.75147926,c,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Dawson and Fanning 1981; Genoud 2017 dataset"

Hylomys,suillus,short-tailed gymnure,0.0708,-1.1499667,73.6333333,ml O2/h,8.84,0.94625571,o,land,yes,eulipotyphla,"White and Seymour, 2003; Genoud and Ruedi 1996; Genoud 2017 dataset"

Hystrix,africaeaustralis,cape porcupine,11,1.04139269,2196.27,ml O2/h,263.55,2.42086698,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Ictidomys,tridecemlineatus,thirteen-lined ground squirrel,0.18474286,-0.7334323,108.265,ml O2/h,12.99,1.11366933,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hudson et al., 1972; Genoud 2017 dataset"

Isoodon,auratus,golden bandicoot,0.428,-0.3685562,150,ml O2/h,18,1.25527251,o,land,yes,peramelemorphia,"White and Seymour, 2003; Withers 1992; Genoud 2017 dataset"

Isoodon,macrourus,northern brown bandicoot,1.551,0.1906118,579.228571,ml O2/h,69.51,1.84203122,o,land,yes,peramelemorphia,"White and Seymour, 2003; Hulbert and Dawson 1974; Genoud 2017 dataset"

Isoodon,obesulus,southern brown bandicoot,1.252125,0.09764769,391.86125,ml O2/h,47.02,1.67231357,o,land,yes,peramelemorphia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Larcombe and Withers 2007; Genoud 2017 dataset"

Isthmomys,pirrensis,mount pirri isthmus rat,0.1379,-0.8604357,121.4,ml O2/h,14.57,1.16339993,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hill 1975; Genoud 2017 dataset"

Jaculus,jaculus,lesser egyptian jerboa,0.07455556,-1.12752,91.6777778,ml O2/h,11,1.04144532,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Jaculus,orientalis,greater egyptian jerboa,0.139,-0.8569852,139,ml O2/h,16.68,1.22219605,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hooper and El Hilali 1972; Genoud 2017 dataset"

Kerodon,rupestris,rock cavy,0.75566667,-0.1216697,364.566667,ml O2/h,43.75,1.6409582,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Arends and McNab 2001; Genoud 2017 dataset"

Kobus,ellipsiprymnus,waterbuck,100,2,26673.6318,ml O2/h,3200.835821,3.5052634,h,land,yes,artiodactyla,Khaliq et al. (2015)

Lagidium,viscacia,southern viscacha,2.056,0.31302311,699,ml O2/h,83.88,1.92365842,h,land,yes,rodentia,Tirado et al. (2007)

Lagorchestes,conspicillatus,spectacled hare-wallaby,2.66,0.42488164,851.2,ml O2/h,102.14,2.00921286,h,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Dawson and Bennett 1978; Genoud 2017 dataset"

Lagostomus,maximus,plains viscacha,6.784,0.83148584,1899.5,ml O2/h,227.94,2.35782054,h,land,yes,rodentia,"White and Seymour, 2003"

Lemmiscus,curtatus,north american sagebrush vole,0.0303,-1.5185574,50.3,ml O2/h,6.04,0.78074923,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1992; Genoud 2017 dataset"

Lasiopodomys,brandtii,brandt's vole,0.051,-1.2924298,82.6,ml O2/h,9.914,0.99624891,h,land,yes,rodentia,"Li et al. (2010); White and Seymour, 2003"

Lasiorhinus,latifrons,southern hairy-nosed wombat,25.881,1.41298105,2587.74457,ml O2/h,310.53,2.49210265,h,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Wells 1978; Genoud 2017 dataset"

Lasiurus,cinereus,hoary bat,0.0237,-1.6252517,16.4689552,ml O2/h,1.9762746,0.29584729,c,land,yes,chiroptera,Khaliq et al. (2015); Genoud 1993; Genoud 2017 dataset

Lasiurus,borealis,eastern red bat,0.0122,-1.9136402,17.45,ml O2/h,2.094,0.32097668,c,land,yes,chiroptera,Genoud (1993)

Lasiurus,intermedius,northern yellow bat,0.0226,-1.6458916,18.3,ml O2/h,2.196,0.34163234,c,land,yes,chiroptera,Genoud (1993)

Lasiurus,seminolus,seminole bat,0.0098,-2.0087739,13.5,ml O2/h,1.62,0.20951501,c,land,yes,chiroptera,Genoud (1993)

Lemmus,lemmus,norway lemming,0.05875,-1.2309921,13.36,kcal/day,13.36,1.12580646,h,land,yes,rodentia,"White and Seymour, 2003; Scholander et al., 1950"

Lemmus,sibiricus,siberian brown lemming,0.0502,-1.2992963,90.2,ml O2/h,10.82,1.03438778,h,land,yes,rodentia,"White and Seymour, 2003"

Lemmus,trimucronatus,north american brown lemming,0.044,-1.3565473,70.4,ml O2/h,8.448,0.92675391,h,land,yes,rodentia,McNab (1992c)

Lemniscomys,griselda,griselda's striped grass mouse,0.0475,-1.3233064,57.6,ml O2/h,6.91,0.83960373,h,land,yes,rodentia,"White and Seymour, 2003"

Lemniscomys,rosalia,single-striped grass mouse,0.05053,-1.2964507,61.5,ml O2/h,7.38,0.86805636,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Lemur,catta,ring-tailed lemur,2.527,0.40260524,651.4,ml O2/h,78.168,1.893029,o,land,yes,primates,Barrickman & Lin (2010)

Leontopithecus,rosalia,golden lion tamarin,0.733,-0.134896,382,ml O2/h,45.84,1.66124461,o,land,yes,primates,Thompson et al. (1994)

Leopardus,pardalis,ocelot,10.5,1.0211893,3126,ml O2/h,375.12,2.57417022,c,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Leopardus,wiedii,margay,3.6,0.5563025,937,ml O2/h,112.44,2.05092084,c,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Leptailurus,serval,serval,10.116,1.00500882,3137.57214,ml O2/h,376.508652,2.57577496,c,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al. (2015); Downs et al., 1991; Genoud 2017 dataset"

Leptonycteris,curasoae,southern long-nosed bat,0.02375,-1.6243364,35.30375,ml O2/h,4.24,0.62700209,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Arends et al., 1995; Genoud 2017 dataset"

Leptonycteris,yerbabuenae,lesser long-nosed bat,0.022,-1.6575773,36.5,ml O2/h,4.38,0.64147411,h,land,yes,chiroptera,Carpenter & Graham (1967)

Lepus,alleni,antelope jackrabbit,3.181,0.50256367,1582.462,ml O2/h,189.9,2.27851454,h,land,yes,lagomorpha,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Lepus,americanus,snowshoe hare,1.45842857,0.16388516,1259.14286,ml O2/h,151.1,2.17925625,h,land,yes,lagomorpha,"White and Seymour, 2003; Sheriff et al., 2009; Genoud 2017 dataset"

Lepus,arcticus,arctic hare,3.0044,0.47775775,1082,ml O2/h,129.84,2.11340851,h,land,yes,lagomorpha,"White and Seymour, 2003"

Lepus,californicus,black-tailed jackrabbit,2.3,0.36172784,1311,ml O2/h,157.32,2.19678394,h,land,yes,lagomorpha,"White and Seymour, 2003"

Lepus,timidus,mountain hare,3.07233333,0.48746833,2464.53333,ml O2/h,295.74,2.47091594,h,land,yes,lagomorpha,"White and Seymour, 2003; Pyörnilä et al. (1992); Genoud 2017 dataset"

Lepus,townsendii,white-tailed jackrabbit,2.43,0.38560627,1263.4,ml O2/h,151.61,2.18072212,h,land,yes,lagomorpha,"White and Seymour, 2003; Rogowitz 1990; Genoud 2017 dataset"

Limnogale,mergulus,web-footed tenrec,0.0777,-1.109579,64.1,ml O2/h,7.69,0.88603928,c,land,yes,afrosoricida,"White and Seymour, 2003; Stephenson 1994; Genoud 2017 dataset"

Liomys,irroratus,mexican spiny pocket mouse,0.04732857,-1.3248766,54.8014286,ml O2/h,6.58,0.81797313,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hudson and Rummel 1966; Genoud 2017 dataset"

Liomys,salvini,Salvin's spiny pocket mouse,0.04364286,-1.3600868,48.2157143,ml O2/h,5.79,0.76236985,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hudson and Rummel 1966; Genoud 2017 dataset"

Loris,tardigradus,red slender loris,0.284,-0.5466817,128,ml O2/h,15.36,1.18639122,c,land,yes,primates,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Müller et al. (1985); Genoud 2017 dataset"

Loxodontomys,micropus,southern big-eared mouse,0.0623,-1.205512,97.8,ml O2/h,11.74,1.0695201,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic and Rosenmann 1988; Genoud 2017 dataset"

Lutra,lutra,eurasian otter,10,1,4500,ml O2/h,540,2.73239376,o,aquatic,yes,carnivora,"White and Seymour, 2003"

Lutreolina,crassicaudata,lutrine opossum,0.812,-0.090444,406,ml O2/h,48.72,1.68770728,o,land,yes,didelphimorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1978; Genoud 2017 dataset"

Lynx,rufus,bobcat,9.4,0.97312785,4220,ml O2/h,506.4,2.7044937,c,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Macroderma,gigas,ghost bat,0.11089091,-0.9551041,98.348,ml O2/h,11.8,1.07194678,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Baudinette et al., 2000; Genoud 2017 dataset"

Macroglossus,minimus,long-tongued nectar bat,0.01633333,-1.7869252,14.8586444,ml O2/h,1.78,0.25116044,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bonaccorso and McNab 1997; Genoud 2017 dataset"

Macropus,eugenii,tammar wallaby,4.80771429,0.68193865,1383.17143,ml O2/h,165.98,2.22005726,h,land,yes,diprotodontia,"White and Seymour, 2003; Dawson and Hulbert 1970; Genoud 2017 dataset"

Macropus,robustus,common wallaroo,23.2224615,1.36590825,4630.78462,ml O2/h,555.69,2.74483583,h,land,yes,diprotodontia,"White and Seymour, 2003; Dawson 1973; Genoud 2017 dataset"

Macropus,rufus,red kangaroo,32.49,1.51174971,5796.47625,ml O2/h,695.58,2.84234531,h,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Dawson and Hurbert 1970; Genoud 2017 dataset"

Macropus,giganteus,eastern grey kangaroo,26.4,1.42160393,5861,ml O2/h,703.32,2.84715297,h,land,yes,Diprotodontia,Dawson et al. (2007)

Macroscelides,proboscideus,round-eared elephant shrew,0.03881538,-1.4109961,52.0138462,ml O2/h,6.24,0.79530022,c,land,yes,macroscelidea,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Roxburgh and Perrin 1994; Genoud 2017 dataset"

Macrotarsomys,ingens,greater big footed mouse,0.0643,-1.191789,53.35,ml O2/h,6.402,0.80631567,h,land,yes,rodentia,Lobban et al. (2014)

Macrotis,lagotis,greater bilby,1.4072,0.14835583,487.206,ml O2/h,58.46,1.76689387,o,land,yes,peramelemorphia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Kinnear and Shield 1975; Genoud 2017 dataset"

Macrotus,californicus,california leaf-nosed bat,0.0117,-1.9318141,14.6,ml O2/h,1.75,0.2435341,c,land,yes,chiroptera,"White and Seymour, 2003; Bell et al., 1986; Genoud 2017 dataset"

Madoqua,kirkii,kirk's dik-dik,4.6,0.66275783,1930.34826,ml O2/h,231.641791,2.36481691,h,land,yes,artiodactyla,Khaliq et al. (2015)

Malacothrix,typica,gerbil mouse,0.0217,-1.6635403,20.6,ml O2/h,2.47,0.39304847,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Knight and Skinner 1981; Genoud 2017 dataset"

Manis,crassicaudata,indian pangolin,15.91,1.20167018,1241,ml O2/h,148.92,2.17295303,c,land,yes,pholidota,"White and Seymour, 2003; McNab 1984; Genoud 2017 dataset"

Manis,javanica,sunda pangolin,4.22,0.62531245,1106,ml O2/h,132.72,2.12293637,c,land,yes,pholidota,"White and Seymour, 2003; McNab 1984; Genoud 2017 dataset"

Manis,pentadactyla,chinese pangolin,3.6375,0.560803,668,ml O2/h,80.16,1.90395771,c,land,yes,pholidota,"White and Seymour, 2003"

Marmosa,paraguayanus,tate's woolly mouse opossum,0.1701,-0.7692957,129.3,ml O2/h,15.516,1.19077977,o,land,yes,didelphimorphia,Cooper et al. (2010)

Marmosa,robinsoni,robinson's mouse opossum,0.122,-0.9136402,97.5,ml O2/h,11.76,1.07040732,c,land,yes,didelphimorphia,"White and Seymour, 2003; McNab 1978; Genoud 2017 dataset"

Marmota,flaviventris,yellow-bellied marmot,4.295,0.63296317,1546.2,ml O2/h,185.54,2.26844691,h,land,yes,rodentia,"White and Seymour, 2003"

Marmota,monax,groundhog,2.65,0.42324587,651.410714,ml O2/h,78.17,1.89303614,h,land,yes,rodentia,"White and Seymour, 2003; Benedict 1938; Genoud 2017 dataset"

Martes,americana,american marten,0.9,-0.0457575,595,ml O2/h,71.4,1.85369821,c,land,yes,carnivora,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Martes,martes,european pine marten,0.92,-0.0362122,717,ml O2/h,86.04,1.9347004,o,land,yes,carnivora,"White and Seymour, 2003"

Mastomys,natalensis,natal multimammate mouse,0.0415,-1.3819519,32.8,ml O2/h,3.94,0.59505509,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Haim and Le R. Fourie 1980; Genoud 2017 dataset"

Megadontomys,thomasi,thomas's giant deer mouse,0.1108,-0.9554602,124.1,ml O2/h,14.89,1.17295303,o,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Müsser & Shoemaker (1965); Genoud 2017 dataset"

Megaloglossus,woermanni,woermann's bat,0.0124,-1.9065783,21.7,ml O2/h,2.6,0.41564098,h,land,yes,chiroptera,"White and Seymour, 2003"

Meles,meles,european badger,11.05,1.04336228,2984,ml O2/h,358.08,2.55398006,o,land,yes,carnivora,"White and Seymour, 2003"

Melonycteris,melanops,black-bellied fruit bat,0.0533,-1.2732728,43.3,ml O2/h,5.2,0.71566914,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bonaccorso and McNab 1997; Genoud 2017 dataset"

Melursus,ursinus,sloth bear,6.696,0.82581544,844,ml O2/h,101.28,2.00552369,o,land,yes,carnivora,"White and Seymour, 2003"

Mephitis,mephitis,striped skunk,5.667,0.75335321,1507.5,ml O2/h,180.9,2.25743857,o,land,yes,carnivora,Knudsen (1979)

Meriones,hurrianae,indian desert gerbil,0.07182857,-1.1437028,53.6428571,ml O2/h,6.44,0.80869315,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Goyal et al., 1981; Genoud 2017 dataset"

Meriones,tristrami,tristam's jird,0.112,-0.950782,98.6,ml O2/h,11.83,1.07305816,o,land,yes,rodentia,"White and Seymour, 2003"

Meriones,unguiculatus,mongolian gerbil,0.06353824,-1.1969649,67.6485294,ml O2/h,8.12,0.90943961,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Li et al., 2010; Genoud 2017 dataset"

Mesocricetus,auratus,golden hamster,0.11828571,-0.9270677,104.714286,ml O2/h,12.57,1.09918718,o,land,yes,rodentia,"White and Seymour, 2003; Tegowska and Gebczynski 1975; Genoud 2017 dataset"

Metachirus,nudicaudatus,brown four-eyed opossum,0.27171429,-0.5658875,163.514286,ml O2/h,19.62,1.29273695,o,land,yes,didelphimorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Ribeiro and Bicudo 2007; Genoud 2017 dataset"

Microcavia,niata,andean mountain cavy,0.255,-0.5934598,175.7,ml O2/h,21.08,1.32395301,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic 1992; Genoud 2017 dataset"

Microcebus,griseorufus,reddish-gray mouse lemur,0.0515,-1.2881928,44.29,ml O2/h,5.3148,0.72548693,o,land,yes,primates,Kobbe et al. (2014)

Microdipodops,megacephalus,dark kangaroo mouse,0.011,-1.9586073,30.2,ml O2/h,3.62,0.55918819,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Microdipodops,pallidus,pale kangaroo mouse,0.0152,-1.8181564,19.8,ml O2/h,2.41,0.3826473,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bartholomew and MacMillen 1961; Genoud 2017 dataset; Schmidt-Nielsen 1997"

Microgale,cowani,cowan's shrew tenrec,0.01125,-1.9488475,29.5,ml O2/h,3.54,0.54900326,c,land,yes,afrosoricida,"White and Seymour, 2003; Stephenson and Racey 1993; Genoud 2017 dataset"

Microgale,dobsoni,dobson's shrew tenrec,0.0446,-1.3506651,56.4,ml O2/h,6.77,0.83046035,c,land,yes,afrosoricida,"White and Seymour, 2003"

Microgale,talazaci,talazac's shrew tenrec,0.044,-1.3565473,43.6,ml O2/h,5.23,0.71866774,c,land,yes,afrosoricida,"White and Seymour, 2003; Stephenson and Racey 1993; Genoud 2017 dataset"

Micromys,minutus,eurasian harvest mouse,0.00791333,-2.1016405,2.59,kcal/day,2.59,0.41296427,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Schmidt-Nielsen 1997"

Microtus,agrestis,field vole,0.028,-1.552842,63.6,ml O2/h,7.63,0.88263836,h,land,yes,rodentia,"White and Seymour, 2003; McDevitt and Speakman 1996; Genoud 2017 dataset"

Microtus,arvalis,common vole,0.03135,-1.5037625,61.3355,ml O2/h,7.36,0.86689316,h,land,yes,rodentia,"White and Seymour, 2003; Cretegny and Genoud 2006; Genoud 2017 dataset"

Microtus,breweri,beach vole,0.0531,-1.2749055,73.8,ml O2/h,8.86,0.94723761,h,land,yes,rodentia,"White and Seymour, 2003; Kurta and Ferkin 1991; Genoud 2017 dataset"

Microtus,californicus,california vole,0.044,-1.3565473,67.9433333,ml O2/h,8.15,0.9113281,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bradley 1976; Genoud 2017 dataset"

Microtus,guentheri,gunther's vole,0.04755,-1.3228495,80.14975,ml O2/h,9.62,0.98308342,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Microtus,mexicanus,mexican vole,0.0288,-1.5406075,46.9,ml O2/h,5.63,0.75035409,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bradley 1976; Genoud 2017 dataset"

Microtus,montanus,montane vole,0.04511667,-1.345663,87.22,ml O2/h,10.47,1.01979733,c,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1992; Genoud 2017 dataset"

Microtus,ochrogaster,prairie vole,0.0473,-1.3251389,68.9909091,ml O2/h,8.28,0.91797311,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Wunder et al., 1977; Genoud 2017 dataset"

Microtus,oeconomus,tundra vole,0.03523,-1.4530874,100.54,ml O2/h,12.06,1.08152013,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1992; Genoud 2017 dataset"

Microtus,pennsylvanicus,meadow vole,0.04417273,-1.3548458,79.9181818,ml O2/h,9.59,0.98182683,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Kurta and Ferkin 1991; Genoud 2017 dataset"

Microtus,pinetorum,woodland vole,0.02390625,-1.6214885,56.058125,ml O2/h,6.73,0.82781981,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1992; Genoud 2017 dataset"

Microtus,richardsoni,water vole,0.0692375,-1.1596586,161.559204,ml O2/h,19.39,1.28751295,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1992; Genoud 2017 dataset"

Microtus,subterraneus,european pine vole,0.0178,-1.74958,49.5,ml O2/h,5.94,0.77378644,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Gebczynski and Szuma 1993; Genoud 2017 dataset"

Microtus,townsendii,townsend's vole,0.0522,-1.2823295,87.2,ml O2/h,10.46,1.01969773,h,land,yes,rodentia,"White and Seymour, 2003; Kenagy and Vleck 1982; Genoud 2017 dataset"

Microtus,xanthognathus,taiga vole,0.0685,-1.1643094,98.6,ml O2/h,11.83,1.07305816,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Microtus,longicaudatus,long-tailed vole variant,0.0302,-1.5199931,62.21,ml O2/h,7.4652,0.87304145,h,land,yes,rodentia,Lovegrove (2003)

Microtus,cabrerae,cabrera's vole,0.043,-1.3665315,48.59,ml O2/h,5.8308,0.76572815,h,land,yes,rodentia,Mathias et al. (2003)

Microtus,canicaudus,gray-tailed vole,0.0304,-1.5171264,77.8,ml O2/h,9.336,0.97016084,h,land,yes,rodentia,McNab (1992c)

